User_ID,Age,Gender,Country,Education,Days_Since_Registration,Avg_Session_Duration,Num_Sessions_Last_Week,Device_Type,Pages_Visited,Course_Interest_Level,Clicked_Email_Ad,Viewed_Trial_Course,Previous_Purchases,Target_Purchased,Target_Time_Next_Week (min)
1,53,Female,USA,Bachelors,1054,20.7,0,Desktop,142,4,No,Yes,1,Yes,114
2,32,Male,UK,PhD,419,14.1,14,Tablet,41,2,No,Yes,3,No,209
3,54,Male,Germany,Bachelors,1052,13.8,6,Tablet,33,5,No,Yes,4,Yes,243
4,22,Female,USA,PhD,609,13.2,7,Tablet,178,5,Yes,Yes,3,No,235
5,56,Female,India,PhD,87,5.7,11,Desktop,108,1,Yes,Yes,4,No,163
6,26,Male,UK,PhD,1050,7.5,8,Tablet,126,1,Yes,No,2,No,139
7,24,Female,Germany,Masters,120,11.7,0,Desktop,48,1,Yes,No,0,No,63
8,58,Male,Canada,High School,713,11.8,8,Desktop,168,4,No,No,3,Yes,234
9,37,Female,India,PhD,392,14.9,14,Desktop,22,4,Yes,No,1,Yes,298
10,27,Male,USA,High School,353,8.7,6,Desktop,83,5,Yes,No,0,No,250
11,43,Male,USA,Bachelors,15,12.4,6,Mobile,164,2,Yes,Yes,0,No,146
12,21,Female,USA,PhD,305,12.4,2,Desktop,113,3,No,Yes,1,Yes,138
13,55,Female,USA,Bachelors,623,12.6,0,Tablet,24,2,No,No,3,Yes,96
14,41,Male,Brazil,High School,520,12.1,6,Desktop,38,5,No,Yes,3,Yes,237
15,31,Male,Canada,High School,853,5.0,12,Tablet,77,5,Yes,Yes,2,No,289
16,58,Male,UK,Bachelors,640,1.0,9,Mobile,173,5,Yes,Yes,4,No,244
17,18,Male,UK,High School,387,7.3,7,Desktop,102,5,No,No,0,Yes,218
18,34,Female,USA,Bachelors,905,9.3,5,Mobile,167,4,Yes,Yes,0,No,207
19,41,Female,UK,High School,14,6.1,13,Desktop,189,1,No,No,2,No,204
20,44,Female,Canada,Masters,91,11.7,6,Desktop,124,1,No,Yes,4,No,124
21,24,Male,India,Bachelors,4,17.5,8,Mobile,31,2,No,Yes,4,Yes,159
22,26,Female,India,PhD,1022,15.6,7,Tablet,22,2,Yes,Yes,4,Yes,144
23,52,Male,UK,PhD,796,14.3,13,Tablet,153,5,Yes,No,1,Yes,339
24,29,Male,USA,PhD,216,16.9,4,Tablet,150,5,No,No,2,Yes,203
25,38,Female,Germany,High School,704,7.4,11,Desktop,159,3,Yes,No,1,No,250
26,20,Female,Canada,Bachelors,731,9.7,10,Tablet,160,1,Yes,Yes,4,Yes,158
27,32,Male,USA,High School,17,15.1,3,Tablet,101,5,Yes,Yes,1,Yes,263
28,38,Male,Brazil,PhD,495,9.6,10,Desktop,147,2,Yes,No,0,No,237
29,27,Female,Germany,Masters,444,9.9,3,Mobile,177,2,No,No,1,Yes,112
30,50,Male,Canada,PhD,779,21.3,3,Tablet,51,2,No,No,1,No,93
31,23,Female,Brazil,PhD,166,12.5,1,Mobile,123,3,Yes,Yes,3,No,109
